rbd,prom_prioritario
2426,.86486489
3657,.89999998
548,.85714287
2122,.7241379
11343,.4074074
9431,.75757575
25215,.44897959
454,.83561641
17916,.7719298
3296,.60759491
7723,.64516127
7448,.66666669
3799,.9375
9072,.49056605
6501,.74576271
204,.84848487
4169,.43859649
3006,.49350649
10246,.42975205
9085,.65789473
12838,.2
9669,.58620691
946,.89473683
9673,.60606062
9654,.5
8611,.35135135
9720,.77922076
8926,.47872341
4104,.79545456
10155,.42105263
24403,.91428572
4958,.57446808
18124,.60606062
1621,.66666669
10756,.71428573
647,.72500002
3539,.640625
3311,.3888889
11608,.73626375
17915,.79220778
2839,.79069769
40310,.55813956
6920,.80000001
14901,.35294119
612,.71428573
7385,.86666667
4649,.5138889
12840,.72289157
25041,.68627453
12713,.69999999
2943,1
3432,.61290324
3541,.80434781
5010,.53448278
11133,.60000002
10401,.72549021
15593,.52173913
16652,.8125
1859,.33333334
8454,.44897959
40155,.60526317
12617,.6885246
13324,.32653061
6709,.73333335
10529,.54545456
14363,.41860464
22504,.75757575
8434,.66666669
3713,.375
10160,.5
9664,.42857143
14790,.54000002
10643,.67741936
3201,.64999998
6925,.85714287
2135,.75675678
24756,.36734694
7412,.84210527
1750,.375
22262,.70833331
13178,.44444445
10795,.65625
33,.72222221
4658,.58974361
10240,.59183675
20159,.55737704
9660,.55263156
13514,.53333336
1707,.69999999
11147,.86206895
10917,.61452514
14541,.53846157
3308,.27272728
7802,.57894737
2972,.77142859
14637,.65217394
20364,.40000001
8435,.83720928
9880,.68000001
4407,.7037037
8514,.29310346
9553,.47619048
2532,.73809522
15731,.86666667
10221,.63636363
11795,.6785714
8412,.58928573
1347,.76190478
4840,.81818181
19947,.64705884
20029,1
14359,.40000001
14818,.46153846
8680,.4375
2045,.36842105
7650,.69999999
24243,.5714286
1874,.5714286
25562,.64893615
10117,.72000003
9757,.37777779
7388,.52238804
11103,.71428573
40017,.73333335
6550,1
25247,.80769229
17850,.5234375
386,.75
8828,.48101267
2566,.78571427
40278,.14285715
10430,.60317463
9714,.82926828
4354,.94117647
22433,.66666669
9895,.375
6759,.74137932
5034,.85714287
12935,.36734694
17709,.84210527
7016,.73469388
2753,.71111113
22230,.78260869
4308,.625
10892,.57499999
22743,.72727275
25194,.83999997
25070,.23529412
22616,.73333335
9634,.73758864
26434,.67741936
16583,.75555557
10858,.71428573
1924,.69999999
5347,.76923078
17686,.25925925
2109,.50877196
18069,.36363637
13216,.81481481
9312,.40963855
10658,.48275861
31293,.40000001
1987,.8214286
2465,.68181819
1590,.45454547
26164,.65384614
25282,.34065935
25475,.63333333
6254,.58426964
3724,.3114754
1077,.75471699
1604,.64705884
3545,.86842108
9358,.80952382
1517,.76666665
7131,.87755102
15589,.66666669
2074,.8974359
25050,.65454543
7312,1
8914,1
5661,.60000002
10737,.80000001
479,.36000001
7135,.875
16608,.66666669
2123,.6857143
16729,.80000001
10228,.46938777
9947,.35185185
1863,.73846155
25132,.60526317
10334,.38709676
14416,.50684929
8835,.43859649
2037,.71428573
13608,.66666669
15811,.73333335
3728,.48888889
8822,.55319148
8661,.50561798
6056,.71428573
3037,.77499998
1393,.34146342
4772,.60000002
31340,.33333334
4843,.70588237
10792,.8035714
13570,1
10722,.5714286
6421,.89285713
664,.72857141
5670,.38095239
3549,.89999998
969,.73469388
7700,.44444445
5575,.66037738
26094,.61666667
4782,.53333336
9519,.33333334
5411,.8125
24625,.33333334
4059,.89999998
442,.7096774
16958,.48148149
5172,1
2579,.46391752
20173,.56862748
10332,.5777778
2795,.75806451
12736,.48148149
10279,.60000002
4259,.65909094
517,.55932206
4168,.82857144
12860,.52777779
2862,.44999999
8631,.81355929
24714,.85294116
5289,.61764705
16634,.68181819
25922,.29824561
4786,.51612902
1436,.38709676
6207,.69230771
10619,.68000001
40208,.82608694
5249,1
1215,.46296296
26411,.6388889
8475,.4642857
7128,.70175439
9939,.67777777
17728,.31818181
25084,.59090906
14381,.2857143
26260,.3859649
10273,.59375
16787,1
2968,.73333335
7338,.640625
17787,.74074072
7334,.71186441
2859,.83870965
24733,.69444442
18172,.49019608
5229,.64130437
5128,.779661
31253,.53846157
12891,.47499999
22532,.66666669
110,.5
2424,.94117647
17785,.62962961
25999,.23404256
11032,.78571427
8629,.484375
14822,.58974361
5678,.67741936
2531,.53846157
17908,.53086418
10229,.58823532
6569,.9285714
6585,.80000001
2183,.34782609
26460,.47826087
31288,.68181819
10632,.45454547
8791,.27272728
8632,.58762884
18017,.90476191
3802,.8108108
31071,.6509434
10673,.62162161
4280,.875
976,.33333334
40371,.64556962
7631,.62711865
22361,.60000002
3468,1
637,.55555558
9377,.625
9890,.72972971
24945,.54166669
16520,.72000003
5763,.89999998
14373,.57575756
10001,.77777779
225,.4954955
10119,.75
14413,.30303031
9808,.64999998
14671,.625
1256,.85000002
3393,1
2966,.8125
4656,.5
8614,.40677965
405,.875
6898,.73913044
10421,.8888889
9437,1
24730,.53658539
11809,.5714286
10271,.74074072
649,.43333334
2870,.74285716
7940,1
32,.83783782
6918,.82499999
4270,.79166669
7237,.74576271
11977,.53658539
2636,.88235295
7137,.81818181
6304,.68316829
4163,.58715594
2334,.79166669
26137,.23529412
9302,.68181819
13559,.77272725
22561,.69999999
13112,.32727271
5754,.875
25674,.56
7536,.48648649
24240,.46666667
12631,.48192772
13573,.37837839
